,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
4870,Mystery Team,Dan Eckman,3.35,"['Comedy', 'Crime', 'Mystery', 'Thriller']",97.0,English,A group of former Encyclopedia Brown-style child-detectives struggle to solve an adult mystery.,"['Derrick Comedy Productions', 'Offhollywood Digital']",16565,3761,3892,57,154,2697,538,10479
4871,Zero Day,Ben Coccio,3.81,"['Drama', 'Crime']",92.0,English,Two troubled adolescents chronicle the events that ultimately lead up to a terrifying assault on their school.,['Professor Bright Films'],23878,7588,10241,2000,155,2068,5279,18452
4872,Darling,Mickey Keating,2.92,"['Horror', 'Thriller']",78.0,English,A young woman slowly goes crazy after taking a job as the caretaker for an ancient New York home.,"['Glass Eye Pix', 'Alexander Groupe']",6895,3750,1182,16,249,1174,161,4959
4873,Two Hands,Gregor Jordan,3.56,"['Thriller', 'Comedy', 'Crime']",103.0,English,"A 19-year-old finds himself in debt to a local gangster when some gang loot disappears and sets him on the run from thugs. Meanwhile, two street kids start a shopping spree when they find the missing money.","['Meridian Films', 'CML Films']",17420,4988,5270,343,53,2064,1377,12433
4874,Nightbeast,Don Dohler,2.72,"['Science Fiction', 'Horror']",81.0,English,"A creature from outer space, nightbeast, crash lands in Baltimore and starts a killing spree that quickly escelates.",['Amazing Film Productions'],7411,5724,1911,7,380,1389,218,5589
4875,The Zodiac Killer,Tom Hanson,2.52,"['Thriller', 'Horror', 'Crime']",87.0,English,"The San Francisco area is beset by a series of seemingly random murders without motive or pattern. The police are taunted by phone calls and letters. Could the maniac be the violent truck driver, or the seemingly mild-mannered mailman, or even a cop?",['Adventure Productions (II)'],3210,3249,576,2,211,574,38,2358
4876,Boys and Girls,Robert Iscove,2.67,"['Romance', 'Drama', 'Comedy']",94.0,English,"Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops.","['Dimension Films', 'Punch 21 Productions']",14184,3090,1573,11,555,1628,329,7467
4877,Basquiat,Julian Schnabel,3.41,"['Drama', 'History']",107.0,English,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.","['Eleventh Street Production', 'Jon Kilik Productions']",41093,9864,8588,177,249,6458,1708,24108
4878,Another Me,Isabel Coixet,2.13,"['Drama', 'Horror', 'Mystery', 'Thriller']",86.0,English,A teenager finds her perfect life upended when she's stalked by a mysterious doppelganger who has her eyes set on assuming her identity.,"['Rainy Day Films', 'Tornasol Media']",5127,1820,249,1,557,353,39,3083
4879,Antitrust,Peter Howitt,2.77,"['Action', 'Drama', 'Crime']",108.0,English,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,"['Industry Entertainment Partners', 'Epsilon Motion Pictures', 'Hyde Park Entertainment', 'Metro-Goldwyn-Mayer']",13130,2628,1159,6,378,1772,123,7032
4880,Precious Cargo,Max Adams,2.12,"['Action', 'Thriller', 'Crime']",99.0,English,"After a botched heist, Eddie a murderous crime boss, hunts down the seductive thief Karen who failed him. In order to win back Eddie’s trust, Karen recruits her ex-lover and premier thief Jack to steal a cargo of rare precious gems. But when the job goes down, allegiances are betrayed and lines are crossed as Jack, Karen, and Eddie face off in a fateful showdown.","['Mann Made Films', 'Lionsgate Premiere', 'Herrick Entertainment', 'Highland Film Group', 'EFO Films']",2509,1099,155,0,261,222,23,1706
4881,The Last Time I Committed Suicide,Stephen Kay,2.76,['Drama'],94.0,English,"Neal Cassady is living the beat life during the 1940s, working at The Tire Yard and philandering around town. However, he has visions of a happy life with kids and a white picket fence. When his girlfried, Joan, tries to kill herself he gets scared and runs away. But when Joan reappears will he take the chance at that happiness, or will he turn his back on it?","['Tapestry Films', 'Bates Entertainment', 'The Kushner-Locke Company']",1507,1101,143,5,95,156,24,886
4882,Northfork,Michael Polish,3.33,"['Fantasy', 'Drama']",103.0,English,"The year is 1955, and a great flood is coming to Northfork, Montana. A new hydroelectric dam is about to be installed in the mountains above the town, ready to submerge the valley in the name of progress. It is the responsibility of a six-man Evacuation Committee to relocate the townsfolk to higher ground. Most have duly departed, but a few stubborn stragglers remain – among them a priest caring for a sickly orphan, a boy whose fevered visions are leading him to believe he is a member of a roaming band of lost angels desperately searching for a way home.","['Romano Shane Productions', 'Departure Entertainment', 'Prohibition Pictures', 'Polish Brothers Construction', 'Departure Studios', 'Northfork Productions', 'Paramount Classics']",2127,1190,293,4,37,298,58,1250
4883,The Zookeeper's Wife,Niki Caro,3.41,"['War', 'Drama', 'History']",126.0,English,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.","['Scion Films', 'Czech Anglo Pictures', 'Focus Features', 'Electric City Entertainment', 'Mike Tollin Productions', 'Sierra/Affinity', 'MadRiver Pictures']",51145,8748,7892,58,235,8435,2568,31419
4884,Alien Nation,Graham Baker,3.16,"['Science Fiction', 'Thriller', 'Crime']",91.0,English,"A few years from now, Earth will have the first contact with an alien civilization. These aliens, known as Newcomers, slowly begin to be integrated into human society after years of quarantine.","['American Entertainment Partners II L.P.', '20th Century Fox']",12121,3894,1793,2,88,2584,117,6841
4885,Bend It Like Beckham,Gurinder Chadha,3.42,"['Comedy', 'Romance', 'Drama']",112.0,English,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.","['Kintop Pictures', 'Bend It Films', 'Roc Media', 'Road Movies']",318702,47196,59789,2300,1862,39975,15217,157717
4886,Super 8,J.J. Abrams,3.5,"['Science Fiction', 'Mystery', 'Thriller']",112.0,English,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.","['Paramount Pictures', 'Amblin Entertainment', 'Bad Robot']",498505,52532,94712,2000,2242,66723,16638,271089
4887,What About Bob?,Frank Oz,3.49,['Comedy'],100.0,English,"Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself.","['Touchstone Pictures', 'Touchwood Pacific Partners 1']",90299,15629,19070,511,581,11375,4260,49825
4888,Winterbeast,Christopher Thies,2.81,"['Horror', 'Comedy']",76.0,English,"Set during the fall (NOT winter), a small New England town is brutally ravaged by possessed totem poles.",['Mercury International Pictures'],5900,4643,1817,6,337,1005,241,4452
4889,"McFarland, USA",Niki Caro,3.57,"['Drama', 'Family']",128.0,English,A track coach in a small California town transforms a team of athletes into championship contenders.,"['Mayhem Pictures', 'Walt Disney Pictures']",60364,9819,13392,476,219,8416,4315,39288
4890,North Country,Niki Caro,3.51,['Drama'],126.0,English,"A fictionalized account of the first major successful sexual harassment case in the United States — Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.","['Participant', 'Nick Wechsler Productions', 'Industry Entertainment Partners']",18997,6150,2690,15,88,2850,595,11586
4891,The Vintner's Luck,Niki Caro,3.15,"['Fantasy', 'Drama', 'Romance']",121.0,English,"A fantasy romance set in 19th century France. The film revolves around Sobran, a young peasant winemaker, and the three important figures in his life - his beautiful wife Celeste, baroness Aurora de Valday and an angel named Xas.","['Ascension Pictures', 'Acajou Films', 'Kortex Production', 'New Zealand Film Commission', 'New Zealand Film Production Fund', 'Motion Investment Group', 'OLC / Rights Entertainment', 'Birka Holding', 'Les Films 2 Cinema', 'NZ on Air']",484,612,59,0,15,58,12,263
4892,Jailbreakers,William Friedkin,2.84,"['TV Movie', 'Crime', 'Drama']",76.0,English,A 1950s high school cheerleader meets a leather clad rebel biker and goes out on the town with him. When he steals an item of jewellery he gets thrown in prison but not for long. He makes a desperate escape and he is determined to catch up with his lost love and re-new their criminal activities.,['Showtime Networks'],597,652,48,0,49,55,3,401
4893,Burning Palms,Christopher Landon,2.82,"['Thriller', 'Comedy']",112.0,English,"A subversive tale that interlaces five stories set in Los Angeles, where no taboo is left unexplored as each character careens toward a dark and often comic fate",['Films In Motion'],1088,675,106,1,84,135,20,740
4894,Blood Lake: Attack of the Killer Lampreys,James Cullen Bressack,2.4,"['Horror', 'TV Movie', 'Thriller']",90.0,English,"After chomping through the fish population, thousands of starved lampreys begin attacking the citizens of a sleepy lake town, and the community scrambles to stay alive.","['Tiki Terrors', 'The Asylum', 'Syfy']",1273,883,113,0,151,119,13,883
4895,Jay and Silent Bob Strike Back,Kevin Smith,3.19,"['Adventure', 'Comedy']",104.0,English,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.","['Dimension Films', 'View Askew Productions']",139271,20107,24796,435,1839,20903,5241,74867
4896,Blindfold: Acts of Obsession,Lawrence L. Simeone,3.2685351873474158,"['Thriller', 'TV Movie', 'Crime']",93.0,English,A therapist turns an unhappy wife on to a deadly fantasy game with her husband.,"['Saban Entertainment', 'Libra Film']",300,489,21,0,23,24,1,172
4897,Hardcore,Paul Schrader,3.77,"['Drama', 'Mystery', 'Crime']",108.0,English,A conservative Midwest businessman ventures into the sordid underworld of pornography in search of his runaway teenage daughter who’s making hardcore films in the pits of Los Angeles.,"['A-Team', 'Columbia Pictures']",60740,22612,18941,155,144,6783,2603,45730
4898,Dominion: Prequel to The Exorcist,Paul Schrader,2.33,['Horror'],116.0,English,Father Merrin takes a sabbatical from the Church to devote himself to history and archaeology as he struggles with his shattered faith.,['Morgan Creek Entertainment'],17026,7800,1329,1,1126,2111,70,11724
4899,Adam Resurrected,Paul Schrader,3.1,"['Drama', 'War']",107.0,English,"After again attempting to commit murder, a Jewish man with a mysterious past and extraordinary intelligence, charisma, and body control returns to an insane asylum, where he makes a startling discovery.","['July August Productions', '3L Filmproduktion', 'Bleiberg Entertainment', 'Adam Productions']",3793,2336,531,4,64,699,75,2636
4900,Dying of the Light,Paul Schrader,2.67,"['Thriller', 'Drama']",94.0,English,"Evan Lake, a veteran CIA agent, has been ordered to retire. But when his protégé uncovers evidence that Lake's nemesis, the terrorist Banir, has resurfaced, Lake goes rogue, embarking on a perilous, intercontinental mission to eliminate his sworn enemy.","['TinRes Entertainment', 'Over Under Media', 'Grindstone Entertainment Group', 'Red Granite Pictures', 'Lionsgate']",11992,4177,1016,3,872,1061,475,8594
4901,First Reformed,Paul Schrader,4.04,['Drama'],113.0,English,A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,"['Arclight Films', 'Omeira Studio Partners', 'Killer Films', 'Fibonacci Films', 'Big Indie Pictures']",301671,108524,98374,3500,1521,21652,39482,230006
4902,"He Said, She Said","Ken Kwapis, Marisa Silver",2.84,"['Comedy', 'Drama', 'Romance']",115.0,English,"Womanising, right-wing Dan Hanson and quiet, liberal Lorie Bryer work for the Baltimore Sun. Rivals for the job of new writer of a vacant column, the paper ends up instead printing their very different opinions alongside each other, which leads to a similarly combative local TV show. At the same time their initial indifference to each other looks like it may evolve into something more romantic.",['Paramount Pictures'],5609,1493,500,4,88,772,47,2569
4903,Patriots Day,Peter Berg,3.48,"['Crime', 'History', 'Drama', 'Thriller', 'Action']",133.0,English,"In the aftermath of an unspeakable act of terror, Police Sergeant Tommy Saunders joins courageous survivors, first responders and investigators in a race against the clock to hunt down the Boston Marathon bombers before they strike again.","['TIK Films', 'CBS Films', 'Closest to the Hole Productions', 'Bluegrass Films', 'Hutch Parker Entertainment', 'Leverage Entertainment', 'Lionsgate']",100221,16160,18209,138,676,15608,4102,73409
4904,The River Wild,Curtis Hanson,3.31,"['Drama', 'Thriller', 'Adventure']",111.0,English,"Gail and Tom Hartman are struggling to stay together and decide to take a white-water rafting holiday adventure in Montana for their son Roarke's 10th birthday, only to meet up with a pair of mysterious men whose desperation grows, turning their vacation into a nightmare.","['The Turman-Foster Company', 'Universal Pictures']",49851,8036,7814,54,188,9557,1087,28888
4905,Death Sentence,James Wan,3.19,"['Action', 'Thriller', 'Drama', 'Crime']",105.0,English,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.","['Baldwin Entertainment Group', '20th Century Fox', 'Hyde Park Entertainment']",31860,7692,5585,47,433,6167,762,21910
4906,Picture Perfect,Glenn Gordon Caron,2.75,"['Comedy', 'Romance', 'Drama']",105.0,English,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.","['3 Arts Entertainment', '20th Century Fox']",27425,4447,2490,22,627,3493,433,13011
4907,Beauty Shop,Bille Woodruff,3.17,"['Romance', 'Comedy']",105.0,English,"Far from Chicago, hairdresser Gina Norris has relocated to Atlanta with her daughter and has quickly established herself as a rare talent in her profession. But after repeatedly butting heads with her shady, over-the-top boss, Jorge, Norris sets out to create her own salon -- even snagging a few of Jorge's employees and clients. Now, Jorge will do anything to shut her down.","['Metro-Goldwyn-Mayer', 'Cube Vision']",44594,5661,7458,126,480,5750,2336,20467
4908,Murder in the First,Marc Rocco,3.47,"['Drama', 'Crime']",122.0,English,"A young, inexperienced public defender is assigned to defend an inmate accused of committing murder while behind bars.","['Wolper Organization', 'Warner Bros. Pictures', 'Le Studio Canal+']",15491,3659,2143,16,83,2422,401,9114
4909,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Douglas Tirola,3.51,"['Comedy', 'History', 'Documentary']",93.0,English,"A look at the history of the American comedy publication and production company, National Lampoon, from its beginning in the 1970s to 2010, featuring rare and never before seen footage, this is the mind boggling story of The National Lampoon from its subversive and electrifying beginnings, to rebirth as an unlikely Hollywood heavyweight, and beyond. A humour empire like no other, the impact of the magazines irreverent, often shocking, sensibility was nothing short of seismic: this is an institution whose (drunk stoned brilliant) alumni left their fingerprints all over popular culture. Both insanely great and breathtakingly innovative, The National Lampoon created the foundation of modern comic sensibility by setting the bar in comedy impossibly high.","['4th Row Films', 'Magnolia Pictures', 'History Films', 'Diamond Docs']",6242,1416,1237,1,17,1085,177,3941
4910,In the Cut,Jane Campion,3.29,"['Mystery', 'Thriller', 'Drama', 'Romance']",119.0,English,"Following the gruesome murder of a young woman in her neighborhood, an English teacher living in New York City — as if to test the limits of her own safety —propels herself into an impossibly risky sexual liaison with a police detective.","['Pathé', 'Screen Gems', 'Red Turtle']",42590,17444,9183,204,695,6245,1518,29408
4911,My Dog Skip,Jay Russell,3.2,"['Family', 'Comedy', 'Drama']",95.0,English,"A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.","['Alcon Entertainment', 'Mark Johnson Productions', 'John Lee Hancock Productions', 'MDS Productions']",24557,3662,2333,26,254,3203,509,9807
4912,The Darkness,Greg McLean,1.82,"['Thriller', 'Horror']",92.0,English,A family returns from a Grand Canyon vacation with a supernatural presence in tow.,"['Chapter One Films', 'Universal Pictures', 'Blumhouse Productions', 'BH Tilt']",13469,3680,563,1,2224,901,64,9315
4913,Stir of Echoes,David Koepp,3.27,"['Mystery', 'Horror', 'Thriller']",99.0,English,"After being hypnotized by his sister-in-law, Tom Witzky begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around her.","['Artisan Entertainment', 'Hofflund/Polone']",61255,14594,10831,39,389,11659,1380,37905
4914,The Air I Breathe,Jieho Lee,2.92,"['Crime', 'Drama', 'Thriller']",95.0,English,"A gambler’s bet spiraling into chaos, a gangster's prophetic visions, a pop star’s dark entanglement, a doctor’s desperate race against time to rescue his beloved... Four interconnected stories reveal life unfolding through four emotional pillars — joy, passion, grief, and love.","['NALA Films', 'Paul Schiff Productions']",5027,1442,378,2,147,837,66,3110
4915,Trapped,Luis Mandoki,2.81,"['Action', 'Drama', 'Thriller', 'Crime']",106.0,English,"When their daughter is abducted by experienced kidnappers, the Jennings turn the tables on their seemingly fool-proof plan.","['Senator Film', 'Propaganda Films', 'Columbia Pictures']",11721,2301,1087,4,283,2169,164,7160
4916,Where the Truth Lies,Atom Egoyan,3.13,"['Thriller', 'Drama', 'Mystery']",107.0,English,An ambitious reporter probes the reasons behind the sudden split of a 1950s comedy team.,"['Serendipity Point Films', 'First Choice Films', 'The Movie Network', 'Téléfilm Canada', 'Ego Film Arts', 'Movie Central']",7501,3318,706,1,104,1393,96,4546
4917,Taking Chance,Ross Katz,3.4,"['War', 'TV Movie', 'Drama']",77.0,English,"Lt. Col. Michael Strobl, a volunteer military escort accompanies the body of Lance Cpl. Chance Phelps to his hometown in Wyoming.","['Motion Picture Corporation of America', 'HBO Films', 'HBO']",5219,1415,902,11,60,834,289,3530
4918,The Air Up There,Paul Michael Glaser,2.65,"['Family', 'Comedy']",107.0,English,"Jimmy Dolan is a college basketball coach who wants a big promotion. To get it, he needs to make a dramatic find. He ends up deep in Africa, hoping to recruit Saleh, a huge basketball prodigy Jimmy glimpsed in a home movie. But Saleh is the chief's son and has responsibilities at home, since the tribe's land is threatened by a mining company with its own hotshot basketball team.","['NBB Unit One Film Partners', 'Hollywood Pictures', 'PolyGram Filmed Entertainment', 'Interscope Communications', 'Nomura Babcock & Brown', 'Longview Entertainment']",9020,1778,555,3,250,979,51,4061
4919,Novocaine,David Atkins,2.93,"['Comedy', 'Crime', 'Thriller']",95.0,English,A dentist finds himself a murder suspect after a sexy patient seduces him into prescribing her drugs.,['Numb Gums Production Inc.'],6862,2098,808,7,141,1237,104,4029
4920,My One and Only,Richard Loncraine,3.12,"['Drama', 'Comedy']",108.0,English,"A mother takes her two sons on an unusual road trip from New York to Pittsburgh, St. Louis and eventually Hollywood in her quest to find a man to take care of them all.",['Herrick Entertainment'],3179,1169,302,1,35,561,55,1668
4921,Jayne Mansfield's Car,Billy Bob Thornton,3.16,"['Romance', 'Drama']",122.0,English,Alabama; 1969: The death of a clan's estranged wife and mother brings together two very different families. The scars of the past hide differences that will either tear them apart or expose truths that could lead to unexpected collisions.,"['AR Films', 'Aldamisa Entertainment', 'Media Talent Group']",1175,651,130,0,26,224,18,813
4922,Only When I Laugh,Glenn Jordan,3.23,"['Comedy', 'Drama']",120.0,English,"A boozy Broadway actress comes out of a 12-week cure to face the problems of her best friends as well as her needy daughter. She tries to balance the terrors of returning to work with the demands of all around her with humor and insight, while staying off the booze.",['Columbia Pictures'],1316,2047,185,3,29,223,28,812
4923,Elephant White,Prachya Pinkaew,2.62,"['Fantasy', 'Action', 'Crime', 'Thriller']",91.0,English,An assassin is hired by a businessman to avenge the murder of his daughter by white slave traders in Thailand.,"[""Swingin' Productions"", 'Millennium Media', 'The Safran Company']",1572,647,75,0,96,164,15,967
4924,White Water Summer,Jeff Bleckner,3.11,"['Drama', 'Adventure']",90.0,English,"When the experienced guide Vic accompanies the city boy Alan and his three friends on their first wilderness experience, he not only hopes to teach the four boys lessons about the wilderness, but about themselves. Vic pushes them to the limit. Soon after alienating the boys, Vic finds himself in desperate need of help and must rely on his students in order to survive.","['Polar Entertainment', 'Columbia Pictures']",3811,1425,705,8,39,876,97,2456
4925,The Tiger's Tail,John Boorman,3.21,"['Comedy', 'Drama', 'Crime']",107.0,English,"After a chance encounter, a Dubliner is stalked by a murderous facsimile of himself.",['Fern Gully Tales'],464,481,50,0,12,91,3,297
4926,Where the Heart Is,John Boorman,3.14,"['Comedy', 'Drama']",107.0,English,A wealthy businessman shows his young adult kids how tough life can be.,"['Silver Screen Partners IV', 'Touchstone Pictures']",939,960,138,3,27,150,14,529
4927,Beyond Rangoon,John Boorman,3.16,"['Thriller', 'Drama']",100.0,English,Dr. Laura Bowman is a young widow who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s. Bowman initially left San Francisco with her sister in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.,"['Castle Rock Entertainment', 'Pleskow/Spikings Productions']",2211,1168,205,2,38,459,20,1279
4928,Leo the Last,John Boorman,3.32,"['Comedy', 'Drama']",104.0,English,"Prince Leo, last in the line of rulers of a long-deposed monarchy on continental Europe and jaded with the frenetic search for kicks with the European jet-set, returns to his father's London town house for rest.",['United Artists'],682,1152,110,1,8,119,9,434
4929,Catch Us If You Can,John Boorman,3.22,"['Comedy', 'Music']",87.0,English,"Dinah is a famous model and actress who is getting tired of life in the limelight and wants to take a break. While shooting a commercial spot for meat, she meets Steve, a stuntman. Dinah and Steve hit it off and decide to head to an island to get away from it all, bringing along four of Steve's friends. Before long, Dinah is reported missing and everyone is looking for her, making their getaway anything but tranquil.",['Bruton Film Productions'],815,1257,133,0,12,166,9,549
4930,In My Country,John Boorman,3.11,"['Drama', 'Romance']",103.0,English,An American reporter and an Afrikaans poet meet and fall in love while covering South Africa's Truth and Reconciliation Commission hearings.,"['Chartoff Productions', 'Merlin Films', 'Phoenix Pictures']",1067,817,89,1,15,207,15,653
4931,Queen & Country,John Boorman,3.0,['Drama'],114.0,English,"In this sequel to Hope and Glory (1987), Bill Rohan has grown up and is drafted into the army, where he and his eccentric best mate, Percy, battle their snooty superiors on the base and look for love in town.",['Merlin Films'],1912,1126,209,3,58,355,28,1242
4932,The General,John Boorman,3.62,"['Drama', 'Crime']",124.0,English,"The real-life story of Dublin folk hero and criminal Martin Cahill, who pulled off two daring robberies in Ireland with his team, but attracted unwanted attention from the police, the I.R.A., the U.V.F., and members of his own team.","['Merlin Films', 'J & M', 'Fís Éireann/Screen Ireland']",5116,3617,890,5,20,699,149,3299
4933,Lumière & Company,"John Boorman, Michael Haneke",3.5,"['Documentary', 'Drama']",88.0,French,"40 international directors were asked to make a short film using the original Cinematographe invented by the Lumière Brothers, working under conditions similar to those of 1895. There were three rules: (1) The film could be no longer than 52 seconds, (2) no synchronized sound was permitted, and (3) no more than three takes.","['Cinétévé', 'La Sept-Arte', 'Igeldo Komunikazioa S.L.']",7875,2822,1382,2,23,1031,294,3462
4934,Hell in the Pacific,John Boorman,3.73,"['Drama', 'War', 'Adventure']",103.0,English,"During World War II, a shot-down American pilot and a marooned Japanese navy captain find themselves stranded on the same small uninhabited island in the Pacific Ocean.",['Selmur Productions'],7405,4690,1918,9,10,803,283,5099
4935,The Tailor of Panama,John Boorman,3.06,"['Drama', 'Thriller']",109.0,English,"A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal.","['Merlin Films', 'Columbia Pictures']",13685,2842,1276,3,180,2691,95,7826
4936,Hope and Glory,John Boorman,3.67,"['Drama', 'Family', 'War']",113.0,English,A middle-aged man recalls his childhood growing up in and around London during World War II.,['Columbia Pictures'],11265,8906,2173,29,61,1398,454,6998
4937,Exorcist II: The Heretic,John Boorman,2.0,['Horror'],118.0,English,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a research specialist free her from its grasp?",['Warner Bros. Pictures'],47542,17586,4149,14,5755,3949,351,32433
4938,Extraordinary Tales,Raúl García,3.32,"['Horror', 'Animation', 'Mystery']",73.0,English,"Five tales by Edgar Allan Poe come to life thanks to a pictorical style animation, five tales that exude madness, pestilence, murder and torture.","['Melòn Digital', 'R&R Communications', 'The Big Farm', 'Melusine Productions']",7146,3923,1520,11,38,1394,315,4662
4939,Silent House,"Chris Kentis, Laura Lau",2.59,"['Mystery', 'Drama', 'Horror']",85.0,English,"Sarah returns with her father and uncle to fix up the family's longtime summerhouse after it was violated by squatters in the off-season. As they work in the dark, Sarah begins to hear sounds from within the walls of the boarded-up building. Although she barely remembers the place, Sarah senses the past may still haunt the home.","['Elle Driver', 'Tazora Films']",26399,7217,2798,18,1131,4075,448,17127
4940,Jeruzalem,"Yoav Paz, Doron Paz",2.27,"['Thriller', 'Science Fiction', 'Horror', 'Action']",87.0,English,"When a couple of American young adults fly to Israel to visit the city of Jerusalem, a biblical nightmare falls upon the city.","['Epic Pictures Group', 'Mifal HaPais']",12852,3906,1378,8,1123,1871,129,9861
4941,Carnage Park,Mickey Keating,2.65,"['Action', 'Crime', 'Horror', 'Thriller']",81.0,English,"Part crime caper gone awry, part survival horror film, this 1970s set thriller depicts a harrowing fight for survival after a pair of wannabe crooks botch a bank heist and flee into the desert, where they inexplicably stumble upon Carnage Park, a remote stretch of wilderness occupied by a psychotic ex-military sniper.",['Diablo Entertainment'],4290,2099,512,0,169,809,33,3195
4942,The White Ribbon,Michael Haneke,4.22,"['Drama', 'Mystery']",144.0,German,An aged tailor recalls his life as the schoolteacher of a small village in Northern Germany that was struck by a series of strange events in the year leading up to WWI.,"['Lucky Red', 'Wega Film', 'Les Films du Losange', 'X Filme Creative Pool']",105405,45023,28332,962,320,5352,14231,69856
4943,Fanny and Alexander,Ingmar Bergman,4.42,"['Mystery', 'Drama', 'Fantasy']",188.0,Swedish,"As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.","['Cinematograph AB', 'Svenska Filminstitutet', 'SVT', 'Gaumont', 'Personafilm', 'Tobis']",92969,71738,29766,1900,221,3481,21554,59329
4944,L'Atalante,Jean Vigo,3.98,"['Romance', 'Drama', 'Comedy']",89.0,French,"Capricious small-town girl Juliette and barge captain Jean marry after a whirlwind courtship, and she comes to live aboard his boat, L'Atalante. As they make their way down the Seine, Jean grows weary of Juliette's flirtations with his all-male crew, and Juliette longs to escape the monotony of the boat and experience the excitement of a big city. When she steals away to Paris by herself, her husband begins to think their marriage was a mistake.",['Jean-Louis Nounez'],46519,38093,11957,360,181,3763,5747,28947
4945,Brief Encounter,David Lean,4.32,"['Romance', 'Drama']",86.0,English,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.","['Cineguild', 'J. Arthur Rank Organisation']",113877,68535,42985,2200,171,5113,23252,81705
4946,Brief Encounter,Alan Bridges,3.11,"['TV Movie', 'Drama']",103.0,English,"Two strangers, both married to others, meet in a railway station and soon find themselves in a brief but intense affair.","['Transcontinental Film Productions (London)', 'Carlo Ponti Cinematografica', 'Cecil Clarke Productions', 'ITC Entertainment']",536,490,68,1,18,103,9,350
4947,"Yesterday, Today and Tomorrow",Vittorio De Sica,3.73,"['Romance', 'Comedy']",119.0,Italian,Three tales of very different women using their sexuality as a means to getting what they want.,"['Les Films Concordia', 'C. C. Champion']",20729,9404,5542,99,44,2149,1309,13595
